DATE_NUM,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT,
737736.000000,1.011541,1.013284,1.014696,1.010447,1.003108,1.016597,1.012874,1.022296,0.995428,1.003864,1.007812,1.003589,1.005414,0.990341,0.994335,1.002989,0.995555,1.001388,1.010282,0.994182,1.004987,1.023711,1.009391,1.006652,1.006109,
737737.000000,1.002737,1.001567,0.982340,1.007823,1.008467,0.992124,1.037605,0.998298,0.999571,0.999419,1.003790,1.011946,1.002923,0.998470,1.002745,0.992150,1.008567,1.011784,0.993473,1.000669,1.002105,1.001989,1.003026,0.980506,0.993429,
737740.000000,1.007919,0.995307,1.045470,0.998920,0.985050,0.999008,0.991157,0.982594,0.995533,0.984449,1.001373,0.992331,0.996472,0.992913,0.994990,0.982443,0.996291,1.001028,1.002672,0.996909,1.001876,0.988793,1.003185,1.004381,0.996651,
737741.000000,0.999085,0.999917,0.988882,0.988784,1.005613,1.001242,1.013456,1.006301,1.005695,1.000886,0.997429,0.995227,0.994150,0.997492,1.003322,1.004291,1.010087,1.006571,0.993892,0.999497,0.998577,1.004565,1.001114,0.995135,1.000672,
737742.000000,1.009582,0.994789,0.998953,0.987358,1.001861,1.010913,1.073171,0.995055,1.007207,0.991814,0.994674,0.999391,0.994735,1.013537,1.008899,0.998302,1.008321,1.001632,1.020000,1.011570,1.005849,0.993418,0.998164,1.001517,1.015615,
737743.000000,0.993081,1.005571,1.013628,0.992733,0.926744,0.997383,0.989443,1.000502,1.007453,0.996431,0.998618,0.997638,1.000934,1.004198,0.994872,1.002228,0.996817,1.005091,0.999781,0.998757,0.998658,1.008913,1.003573,0.998822,0.997272,
737744.000000,1.011880,0.998594,1.011539,1.013037,1.004008,0.998924,0.983146,1.003737,1.003128,1.002985,1.002595,1.030391,1.007232,1.000760,0.999845,1.005558,1.004140,1.012900,1.019393,1.000332,0.997163,1.053043,1.000111,1.002865,0.985247,
737747.000000,1.005042,0.990891,0.994027,0.988163,1.001331,0.982676,1.020599,0.997639,1.006574,0.999330,1.005004,0.999185,1.008415,1.006835,1.001598,0.992204,0.990930,1.002467,1.012253,1.011200,1.005390,1.013103,0.999388,0.998824,1.011609,
737748.000000,0.996968,1.002841,0.993342,0.997145,1.007087,0.982286,1.004944,1.001411,0.945614,1.001564,1.001717,0.999926,0.999694,1.000943,0.995676,1.000821,1.006181,1.000332,0.993948,0.996144,1.008713,1.004763,1.017311,1.001009,0.997006,
737749.000000,0.988358,0.994167,1.010654,0.988406,0.991423,1.007643,0.990228,0.990320,0.978039,0.990187,0.992288,1.008308,0.992725,1.002638,1.003567,0.982951,1.007324,0.998265,0.994018,1.007165,0.999779,1.004850,0.993927,0.999664,0.993661,
737750.000000,0.995516,0.995809,0.987949,1.013002,0.994676,1.012187,0.999796,1.001468,0.989317,1.004805,1.005527,1.003678,1.002314,0.995115,0.990831,0.992845,1.002228,0.999064,0.990435,0.984054,0.994536,1.003593,0.990257,1.002186,1.006128,
737751.000000,0.999122,1.002188,1.013372,1.003627,1.000223,0.998821,1.009462,1.009394,0.997666,1.003736,0.989522,1.011947,1.006619,1.001322,1.004107,1.014897,0.999883,1.000736,1.012804,0.999585,1.003267,1.001049,0.997665,1.002349,0.995829,
737754.000000,1.017534,1.012935,1.004820,1.017654,1.013378,0.997893,1.009441,1.011213,1.001697,1.012133,1.020830,1.000437,1.005352,1.003583,0.993528,1.015752,1.002926,1.010963,0.995286,1.001829,0.999260,1.021059,1.008358,0.993808,0.996314,
737755.000000,0.992191,0.993284,1.001018,0.997746,0.996920,0.995016,1.013027,0.998653,1.010806,0.993528,1.001530,0.999927,1.001369,1.012777,1.011048,0.994067,1.019137,1.005290,1.004629,1.014522,1.012220,0.995507,1.008731,1.008589,1.002270,
737756.000000,1.013432,1.004508,0.985248,0.997262,0.998455,1.002377,0.998945,1.002248,1.010147,0.990229,0.993379,1.004228,1.002962,1.000928,1.011804,1.008155,1.003091,1.001907,1.008679,0.995910,1.001171,0.997406,1.009970,1.003506,0.996392,
737758.000000,0.997797,0.998255,0.995054,0.993411,1.001547,0.992039,1.000660,0.998421,0.988834,1.005083,0.992138,0.998112,0.997728,0.997199,0.997078,0.995076,0.995092,0.993829,0.995687,1.002464,0.999123,0.997150,1.000759,1.002330,1.002779,
737761.000000,0.988438,0.976190,0.969960,0.987770,0.986537,0.997183,0.993667,0.983239,0.986894,0.988546,0.993282,0.999055,0.997799,1.006554,1.003599,0.991165,0.998394,0.987911,1.000749,1.005407,0.989321,0.999250,0.985258,0.995352,1.001596,
737762.000000,0.982170,0.994116,0.991272,0.979715,0.990604,0.992209,0.986456,0.975188,0.983365,0.994056,0.972425,0.998544,0.987145,1.000930,0.989446,0.981577,1.003906,0.998395,0.988243,1.001874,0.995268,0.990131,1.000605,1.003002,0.994886,
737763.000000,1.008826,1.011753,0.990797,1.000428,0.991192,1.009060,0.997981,1.017433,1.006866,0.999016,0.999108,1.016186,1.019726,1.009108,1.006162,1.011927,1.014763,1.003617,1.013628,1.012851,1.004086,1.008740,0.992853,1.006485,1.000169,
737764.000000,1.014671,1.002883,0.990941,1.006637,0.991570,0.994784,0.994335,1.005557,0.994862,0.999394,1.001071,1.001291,1.005441,0.998158,0.999485,0.983427,1.000902,1.000534,1.022087,1.000723,0.993638,1.009595,1.007143,1.004791,1.004232,
737765.000000,1.019316,1.019699,1.024329,1.011840,1.007353,1.014442,1.001492,1.034402,1.006009,1.009931,1.013017,1.005876,1.014880,1.004244,1.005870,1.043195,1.001127,1.012139,1.012632,0.996550,1.010498,0.997402,1.001539,1.006083,1.009439,
737768.000000,0.986000,0.998756,0.991866,1.000771,1.001369,0.993983,0.990180,0.987534,1.010500,1.005255,0.995071,1.000855,0.995335,0.993569,0.996570,0.990436,0.998537,0.997430,0.996185,1.005476,1.004077,0.990542,1.004117,0.997058,0.996494,
737769.000000,1.005844,1.003653,0.990575,1.000280,1.004556,1.005030,0.999248,1.000316,0.997090,0.999925,1.001061,0.996370,1.000670,0.994452,1.001387,0.987223,1.004283,0.998481,1.003933,0.995195,1.000664,1.007134,0.996392,1.003606,0.998157,
737770.000000,1.008529,0.997850,1.006036,1.007909,1.004082,0.985919,1.010198,0.996890,0.981936,0.998880,1.008482,1.007072,0.997621,1.003348,0.998820,1.006442,0.998653,1.003771,1.001752,1.003138,0.993286,1.003506,0.998628,0.997550,0.998825,
737771.000000,1.002548,1.016578,0.989400,1.019306,1.031391,1.022197,1.001152,1.021972,1.000189,1.011663,1.008411,1.002553,1.028618,1.003522,1.008166,0.998933,1.006631,1.010152,1.005557,0.999278,1.007279,1.011087,1.003461,1.001473,1.006387,
737772.000000,1.013593,1.016960,0.986659,0.991484,0.991898,0.992846,0.996596,0.995355,1.009621,0.991797,1.004170,1.000283,0.991233,1.005172,1.004126,1.001364,1.002585,1.008418,1.000512,1.007225,1.000369,1.006594,1.013688,0.994115,1.004425,
737775.000000,1.017118,0.991661,0.957064,0.998832,1.015011,1.011869,1.014210,1.013511,1.006773,0.999404,0.998443,1.002900,1.003874,1.000000,1.003856,1.011612,1.001121,1.006471,1.010637,1.000717,1.003833,1.022944,1.005941,1.006907,1.002078,
737776.000000,1.001965,1.010268,1.000000,1.006948,1.010004,0.993633,0.995083,1.013638,1.010161,1.000671,0.993068,1.012483,1.006116,1.000000,0.993127,0.995198,0.996976,0.994599,1.008501,0.998009,1.005948,0.994658,0.996134,1.004246,1.006139,
737777.000000,0.997611,0.994478,1.011254,1.005124,1.004307,0.999578,0.990049,0.996972,1.001286,1.001416,0.997731,0.997423,0.998987,0.990628,0.995471,0.994704,1.006740,0.997931,1.009232,0.989626,0.990364,1.008366,0.996658,0.989754,0.988292,
737778.000000,1.001001,1.004587,1.008528,0.985726,1.026587,0.996457,0.999248,0.997787,1.010183,1.001116,1.013818,1.015085,0.995002,1.007605,1.007310,1.018458,1.004129,1.008680,1.005767,1.007338,1.005897,1.005872,1.008870,0.999014,1.001835,
737779.000000,0.997929,1.007530,0.983508,1.017584,0.991019,1.013121,1.004995,0.995607,1.004405,1.007655,1.017081,1.004885,0.999199,1.011966,1.000406,1.018705,1.017669,1.010918,0.988235,1.003522,0.999707,0.993110,1.007827,1.020888,1.001749,
737782.000000,1.016318,0.989823,1.029116,1.006302,1.013699,1.005431,0.985022,1.000699,0.991048,0.999705,1.004750,1.002602,0.999708,0.998908,0.995232,1.017677,1.001747,1.000000,1.000800,0.996331,0.998534,1.008544,0.995106,0.989206,0.989525,
737783.000000,1.000951,1.002008,0.986520,0.993132,0.993347,1.000083,1.004216,1.003580,1.006660,0.995795,1.003039,0.996517,1.002770,0.996358,1.002396,0.989970,0.996730,0.999809,1.001000,1.002562,0.997064,0.998136,1.002619,0.998046,1.004033,
737785.000000,1.019840,1.005371,0.990751,1.005018,1.001465,1.002161,1.002822,1.005654,1.000680,0.999482,1.006901,0.999315,1.010612,1.005666,1.001983,0.999491,0.998906,1.008197,1.005692,1.000000,1.003387,1.003769,1.008477,1.000163,1.000084,
737786.000000,0.999621,0.998246,1.000667,1.000405,0.998328,0.997513,1.000343,0.997621,0.996151,1.002668,1.004346,0.999451,1.000719,1.005998,1.005633,1.003794,1.001752,1.001828,1.008539,1.006948,1.003742,1.001082,1.001216,1.003916,1.000586,
737789.000000,1.005935,0.992891,0.988671,0.994875,0.996232,0.996259,0.986415,0.996272,0.987907,0.981814,0.992344,0.996913,0.996335,0.998555,0.993642,0.991933,0.994863,0.991381,0.992419,0.987152,0.997734,0.992837,0.991763,0.994799,0.998411,
737790.000000,1.007306,1.001529,0.998039,1.001084,1.007775,1.005507,1.005982,1.000566,1.004924,1.009261,1.003858,1.003923,1.005554,1.001447,1.003555,1.003356,0.999121,1.000698,1.005059,1.003455,1.003370,1.000443,1.000373,1.003104,0.995310,
737792.000000,1.022816,1.014429,1.023207,1.019298,1.017013,1.007634,1.024684,1.019093,1.005861,1.010296,1.016541,1.000685,1.012124,0.993496,1.016092,1.020292,1.011985,1.018516,1.008785,0.988070,1.004089,0.994966,1.017137,0.994300,1.000841,
737793.000000,0.990278,0.990067,0.998320,0.986116,0.983684,0.996541,0.988529,0.988307,0.996677,0.992025,0.987837,0.988422,0.986804,0.994544,0.996464,0.991389,0.991417,0.987548,0.997260,0.993274,0.996437,0.989880,0.992047,0.989353,0.991172,
737796.000000,1.007968,0.995666,1.002945,0.999326,1.003569,0.996612,0.994198,1.010234,1.004705,0.998214,0.997171,0.998753,0.999205,0.999634,1.011245,1.000953,1.004274,1.002585,0.999117,1.001387,1.001095,1.006942,0.997838,0.997848,0.997964,
737797.000000,0.995297,0.994761,1.010607,0.986787,0.993515,0.987230,1.000343,1.006583,0.993453,1.000671,0.983314,1.006107,0.982999,0.992318,1.001483,0.995969,0.973374,0.990882,0.999509,0.993808,0.985347,0.993963,0.997357,0.988883,0.990735,
737798.000000,1.016086,1.017260,0.982477,1.008881,1.000632,0.988577,0.997941,1.009639,1.014964,1.008346,1.000679,0.999862,1.007801,1.001843,1.016187,1.015346,0.993274,1.015928,0.997740,1.004263,1.010728,1.021084,1.017118,1.001846,0.996568,
737799.000000,1.021241,1.018082,1.014998,0.997495,0.995791,0.998386,0.996080,1.020357,1.015330,1.010568,1.005596,1.002966,1.003651,1.018215,1.011850,1.003156,1.008804,1.012493,0.999311,1.010938,1.007393,0.994322,1.006930,0.995854,1.010331,
737800.000000,1.002261,0.995853,0.980912,0.991990,0.995985,0.990894,0.998550,0.997980,0.995693,0.999634,0.993929,0.997730,0.990032,1.003433,0.994816,0.995971,1.001678,0.995373,0.994285,1.000969,0.984668,1.003093,1.002691,1.002379,0.991650,
737803.000000,1.021364,1.009899,1.000909,1.004722,1.017823,1.001889,0.994883,1.012804,0.996075,0.999342,1.011028,1.004412,1.008304,1.010805,0.996333,1.002493,0.999777,1.012024,1.012488,1.007341,1.005535,0.968556,1.008051,1.002712,0.995704,
737804.000000,0.986497,1.002023,1.006450,0.999046,0.996248,0.996914,1.009174,1.001835,0.997627,0.994290,0.997315,1.005628,1.011662,0.997684,1.003922,1.002487,1.004692,0.992957,1.007439,0.998479,1.002862,1.008361,1.003686,0.998140,1.002589,
